THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Changhua,↓,,↓,08:24,↓,↓,↓,↓,09:24,↓,,
,,,,,,,,,,,,
Taichung,08:00,08:04,08:08,08:36,08:32,08:39,09:00,09:08,09:36,09:32,,
,,,,,,,,,,,,
Miaoli,↓,08:24,↓,08:56,↓,↓,↓,↓,09:56,↓,,
,,,,,,,,,,,,
Hsinchu,08:25,08:39,↓,09:08,08:57,↓,09:25,↓,10:08,09:57,,
,,,,,,,,,,,,
Taoyuan,08:38,08:51,↓,09:20,09:11,↓,09:38,↓,10:20,10:11,,
,,,,,,,,,,,,
Banqiao,08:51,09:05,08:47,09:32,09:25,09:21,09:51,09:47,10:32,10:25,,
,,,,,,,,,,,,
Taipei,09:02,09:16,08:57,09:42,09:36,09:32,10:02,09:57,10:42,10:36,,
,,,,,,,,,,,,
Nangang,09:10,09:25,09:05,09:50,09:45,09:40,10:10,10:05,10:50,10:45,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.2,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,,,Sa,,Sa~Su,,,Sa,,,,
Train NO.,112,618,1214,814,1622,116,624,1218,818,628,,
,,,,,,,,,,,,
Zuoying,08:55,09:00,09:15,09:25,09:35,09:55,10:00,10:15,10:25,10:35,,
,,,,,,,,,,,,
Tainan,↓,09:13,09:28,09:41,09:48,↓,10:13,10:28,10:41,10:48,,
,,,,,,,,,,,,
Chiayi,↓,09:32,↓,10:00,10:08,↓,10:32,↓,11:00,11:08,,
,,,,,,,,,,,,
Yunlin,↓,↓,↓,10:12,↓,↓,↓,↓,11:12,↓,,
,,,,,,,,,,,,
Changhua,↓,↓,↓,10:24,↓,↓,↓,↓,11:24,↓,,
,,,,,,,,,,,,
Taichung,09:39,10:00,10:08,10:36,10:32,10:39,11:00,11:08,11:36,11:32,,
,,,,,,,,,,,,
Miaoli,↓,↓,↓,10:56,↓,↓,↓,↓,11:56,↓,,
,,,,,,,,,,,,
Hsinchu,↓,10:25,↓,11:08,10:57,↓,11:25,↓,12:08,11:57,,
,,,,,,,,,,,,
Taoyuan,↓,10:38,↓,11:20,11:11,↓,11:38,↓,12:20,12:11,,
,,,,,,,,,,,,
Banqiao,10:21,10:51,10:47,11:32,11:25,11:21,11:51,11:47,12:32,12:25,,
,,,,,,,,,,,,
Taipei,10:32,11:02,10:57,11:42,11:36,11:32,12:02,11:57,12:42,12:36,,
,,,,,,,,,,,,
Nangang,10:40,11:10,11:05,11:50,11:45,11:40,12:10,12:05,12:50,12:45,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.3,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,,,,,,,Sa~Su,,,Su,,
Train NO.,120,630,822,124,636,826,1640,128,642,1538,,
,,,,,,,,,,,,
Zuoying,10:55,11:00,11:25,11:55,12:00,12:25,12:35,12:55,13:00,,,
,,,,,,,,,,,,
Tainan,↓,11:13,11:41,↓,12:13,12:41,12:48,↓,13:13,,,
,,,,,,,,,,,,
Chiayi,↓,11:32,12:00,↓,12:32,13:00,13:08,↓,13:32,,,
,,,,,,,,,,,,
Yunlin,↓,↓,12:12,↓,↓,13:12,↓,↓,↓,,,
,,,,,,,,,,,,
Changhua,↓,↓,12:24,↓,↓,13:24,↓,↓,↓,,,
,,,,,,,,,,,,
Taichung,11:39,12:00,12:36,12:39,13:00,13:36,13:32,13:39,14:00,14:04,,
,,,,,,,,,,,,
Miaoli,↓,↓,12:56,↓,↓,13:56,↓,↓,↓,14:24,,
,,,,,,,,,,,,
Hsinchu,↓,12:25,13:08,↓,13:25,14:08,13:57,↓,14:25,14:39,,
,,,,,,,,,,,,
Taoyuan,↓,12:38,13:20,↓,13:38,14:20,14:11,↓,14:38,14:51,,
,,,,,,,,,,,,
Banqiao,12:21,12:51,13:32,13:21,13:51,14:32,14:25,14:21,14:51,15:05,,
,,,,,,,,,,,,
Taipei,12:32,13:02,13:42,13:32,14:02,14:42,14:36,14:32,15:02,15:16,,
,,,,,,,,,,,,
Nangang,12:40,13:10,13:50,13:40,14:10,14:50,14:45,14:40,15:10,15:25,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.4,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,,Sa~Su,,,Su,Su,,Fr~Su,,,,
Train NO.,830,1646,132,648,1542,1234,834,1652,136,654,,
,,,,,,,,,,,,
Zuoying,13:25,13:35,13:55,14:00,,14:15,14:25,14:35,14:55,15:00,,
,,,,,,,,,,,,
Tainan,13:41,13:48,↓,14:13,,14:28,14:41,14:48,↓,15:13,,
,,,,,,,,,,,,
Chiayi,14:00,14:08,↓,14:32,,↓,15:00,15:08,↓,15:32,,
,,,,,,,,,,,,
Yunlin,14:12,↓,↓,↓,,↓,15:12,↓,↓,↓,,
,,,,,,,,,,,,
Changhua,14:24,↓,↓,↓,,↓,15:24,↓,↓,↓,,
,,,,,,,,,,,,
Taichung,14:36,14:32,14:39,15:00,15:04,15:08,15:36,15:32,15:39,16:00,,
,,,,,,,,,,,,
Miaoli,14:56,↓,↓,↓,15:24,↓,15:56,↓,↓,↓,,
,,,,,,,,,,,,
Hsinchu,15:08,14:57,↓,15:25,15:39,↓,16:08,15:57,↓,16:25,,
,,,,,,,,,,,,
Taoyuan,15:20,15:11,↓,15:38,15:51,↓,16:20,16:11,↓,16:38,,
,,,,,,,,,,,,
Banqiao,15:32,15:25,15:21,15:51,16:05,15:47,16:32,16:25,16:21,16:51,,
,,,,,,,,,,,,
Taipei,15:42,15:36,15:32,16:02,16:16,15:57,16:42,16:36,16:32,17:02,,
,,,,,,,,,,,,
Nangang,15:50,15:45,15:40,16:10,16:25,16:05,16:50,16:45,16:40,17:10,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.5,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,"Fr,Su","Fr,Su",,Fr~Su,Su,,,"Fr,Su",,,,
Train NO.,1546,1238,838,1658,1320,140,660,1550,242,842,,
,,,,,,,,,,,,
Zuoying,,15:15,15:25,15:35,15:45,15:55,16:00,,16:15,16:25,,
,,,,,,,,,,,,
Tainan,,15:28,15:41,15:48,15:58,↓,16:13,,16:28,16:41,,
,,,,,,,,,,,,
Chiayi,,↓,16:00,16:08,16:19,↓,16:32,,↓,17:00,,
,,,,,,,,,,,,
Yunlin,,↓,16:12,↓,16:31,↓,↓,,↓,17:12,,
,,,,,,,,,,,,
Changhua,,↓,16:24,↓,16:41,↓,↓,,↓,17:24,,
,,,,,,,,,,,,
Taichung,16:04,16:08,16:36,16:32,16:53,16:39,17:00,17:04,17:08,17:36,,
,,,,,,,,,,,,
Miaoli,16:24,↓,16:56,↓,↓,↓,↓,17:24,↓,17:56,,
,,,,,,,,,,,,
Hsinchu,16:39,↓,17:08,16:57,↓,↓,17:25,17:39,↓,18:08,,
,,,,,,,,,,,,
Taoyuan,16:51,↓,17:20,17:11,↓,↓,17:38,17:51,↓,18:20,,
,,,,,,,,,,,,
Banqiao,17:05,16:47,17:32,17:25,17:36,17:21,17:51,18:05,17:47,18:32,,
,,,,,,,,,,,,
Taipei,17:16,16:57,17:42,17:36,17:47,17:32,18:02,18:16,17:57,18:42,,
,,,,,,,,,,,,
Nangang,17:25,17:05,17:50,17:45,17:55,17:40,18:10,18:25,18:05,18:50,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.6,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,,,,Su,"Fr,Su",,,,,Su,,
Train NO.,664,144,666,1554,1246,846,670,148,672,1558,,
,,,,,,,,,,,,
Zuoying,16:35,16:55,17:00,,17:15,17:25,17:35,17:55,18:00,,,
,,,,,,,,,,,,
Tainan,16:48,↓,17:13,,17:28,17:41,17:48,↓,18:13,,,
,,,,,,,,,,,,
Chiayi,17:08,↓,17:32,,↓,18:00,18:08,↓,18:32,,,
,,,,,,,,,,,,
Yunlin,↓,↓,↓,,↓,18:12,↓,↓,↓,,,
,,,,,,,,,,,,
Changhua,↓,↓,↓,,↓,18:24,↓,↓,↓,,,
,,,,,,,,,,,,
Taichung,17:32,17:39,18:00,18:04,18:08,18:36,18:32,18:39,19:00,19:04,,
,,,,,,,,,,,,
Miaoli,↓,↓,↓,18:24,↓,18:56,↓,↓,↓,19:24,,
,,,,,,,,,,,,
Hsinchu,17:57,↓,18:25,18:39,↓,19:08,18:57,↓,19:25,19:39,,
,,,,,,,,,,,,
