台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
南港,11:20,11:35,12:00,12:10,12:20,12:35,13:00,13:10,13:20,13:35
,,,,,,,,,,
台北,11:31,11:46,12:11,12:21,12:31,12:46,13:11,13:21,13:31,13:46
,,,,,,,,,,
板橋,11:39,11:55,12:19,12:29,12:39,12:55,13:19,13:29,13:39,13:55
,,,,,,,,,,
桃園,↓,12:10,12:34,12:43,↓,13:10,13:34,13:43,↓,14:10
,,,,,,,,,,
新竹,↓,12:22,12:47,12:56,↓,13:22,13:47,13:56,↓,14:22
,,,,,,,,,,
苗栗,↓,↓,12:58,↓,↓,↓,13:58,↓,↓,↓
,,,,,,,,,,
台中,12:20,12:48,13:17,13:25,13:20,13:48,14:17,14:25,14:20,14:48
,,,,,,,,,,
彰化,↓,↓,13:30,↓,↓,↓,14:30,↓,↓,↓
,,,,,,,,,,
雲林,↓,↓,13:41,↓,↓,↓,14:41,↓,↓,↓
,,,,,,,,,,
嘉義,↓,13:14,13:55,13:50,↓,14:14,14:55,14:50,↓,15:14
,,,,,,,,,,
台南,↓,13:33,14:13,14:07,↓,14:33,15:13,15:07,↓,15:33
,,,,,,,,,,
左營,13:05,13:45,14:25,14:20,14:05,14:45,15:25,15:20,15:05,15:45
,=,=,=,=,=,=,=,=,=,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.4
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,五~日,,,,五~日,,,五、日,
"      車次

站名",F,D,B,D,F,D,B,D,B',F
,833,1649,137,651,837,1655,141,657,1237,841
,,,,,,,,,,
南港,14:00,14:10,14:20,14:35,15:00,15:10,15:20,15:35,15:40,16:00
,,,,,,,,,,
台北,14:11,14:21,14:31,14:46,15:11,15:21,15:31,15:46,15:51,16:11
,,,,,,,,,,
板橋,14:19,14:29,14:39,14:55,15:19,15:29,15:39,15:55,15:59,16:19
,,,,,,,,,,
桃園,14:34,14:43,↓,15:10,15:34,15:43,↓,16:10,↓,16:34
